BigFloat bei Erstellung und Lösung des Gleichungssystem

origin          double          bigfloat

0.35            0.349485        0.349486
100             0.147003        0.146857

232.37          232.439         232.367
100             -0.0296131      0.00141784

-5321.83        -5323.46        -5321.7
100             -0.0305746      0.000715635

48568.3         48583           48568
100             -0.0302371      0.000631985

-231639         -231708         -231638
100             -0.0297936      0.000594808

640042          640230          640039
100             -0.0293803      0.000562008

-1.0618e+006    -1.06211e+006   -1.0617
100             -0.0289947      0.000538505

1.0424e+006     1.0427e+006     1.04239
100             -0.0286353      0.000522934

-557683         -557841         -557680
100             -0.0283036      0.000512408

125201          125236          125201
100             -0.0280014      0.000503945

BigFloat nur bei Lösung des Gleichungssystem

origin          double          bigfloat

0.35            0.349485        0.349485
0               0.147003        -2.08482e-005

232.37          232.439         232.422
0               -0.0296131       -0.00724897

-5321.83        -5323.46         -5323.06
0               -0.0305746       -0.00737591

48568.3         48583           48579.4
0               -0.0302371      -0.00734776

-231639         -231708         -231691
0               -0.0297936      -0.00730262

640042          640230          640184
0               -0.0293803      -0.00725967

-1.0618e+006    -1.06211e+006   -1.06203e+006
0               -0.0289947      -0.00721849

1.0424e+006     1.0427e+006     1.04262e+006
0               -0.0286353      -0.00717838

-557683         -557841         -557801
0               -0.0283036      -0.00713954

125201          125236          125228
0               -0.0280014      -0.00710237
